YYYY;MM;DD;qobs;qc_flag
1952;12;27;233.46;40.0
1952;12;28;219.12;40.0
1952;12;29;255.31;40.0
1952;12;30;262.67;40.0
1952;12;31;240.7;40.0
1953;1;1;255.31;40.0
1953;1;2;262.67;40.0
1953;1;3;270.08;40.0
1953;1;4;326.88;40.0
1953;1;5;338.5;40.0
1953;1;6;262.67;40.0
1953;1;7;266.37;40.0
1953;1;8;270.08;40.0
1953;1;9;255.31;40.0
1953;1;10;288.77;40.0
1953;1;11;338.5;40.0
1953;1;12;338.5;40.0
1953;1;13;262.67;40.0
1953;1;14;281.26;40.0
1953;1;15;307.71;40.0
1953;1;16;270.08;40.0
1953;1;17;255.31;40.0
1953;1;18;258.98;40.0
1953;1;19;303.9;40.0
1953;1;20;426.0;40.0
1953;1;21;323.03;40.0
1953;1;22;292.54;40.0
1953;1;23;307.71;40.0
1953;1;24;334.62;40.0
1953;1;25;346.28;40.0
1953;1;26;369.85;40.0
1953;1;27;307.71;40.0
1953;1;28;288.77;40.0
1953;1;29;281.26;40.0
1953;1;30;281.26;40.0
1953;1;31;281.26;40.0
1953;2;1;315.35;40.0
1953;2;2;346.28;40.0
1953;2;3;365.9;40.0
1953;2;4;323.03;40.0
1953;2;5;311.53;40.0
1953;2;6;307.71;40.0
1953;2;7;369.85;40.0
1953;2;8;568.46;40.0
1953;2;9;467.04;40.0
1953;2;10;354.1;40.0
1953;2;11;326.88;40.0
1953;2;12;338.5;40.0
1953;2;13;373.81;40.0
1953;2;14;467.04;40.0
1953;2;15;682.54;40.0
1953;2;16;1042.21;40.0
1953;2;17;782.17;40.0
1953;2;18;517.25;40.0
1953;2;19;405.76;40.0
1953;2;20;413.83;40.0
1953;2;21;377.77;40.0
1953;2;22;369.85;40.0
1953;2;23;361.96;40.0
1953;2;24;405.76;40.0
1953;2;25;409.8;40.0
1953;2;26;346.28;40.0
1953;2;27;334.62;40.0
1953;2;28;508.81;40.0
1953;3;1;458.77;40.0
1953;3;2;350.19;40.0
1953;3;3;334.62;40.0
1953;3;4;442.33;40.0
1953;3;5;559.86;40.0
1953;3;6;492.02;40.0
1953;3;7;551.28;40.0
1953;3;8;1042.21;40.0
1953;3;9;1042.21;40.0
1953;3;10;782.17;40.0
1953;3;11;846.94;40.0
1953;3;12;1305.78;40.0
1953;3;13;1512.11;40.0
1953;3;14;1459.97;40.0
1953;3;15;1076.33;40.0
