date,P_mm,T_degC,solid_P_mm
2013-01-24,9.921,-1.85,7.635
2013-01-25,2.781,-5.158,2.805
2013-01-26,6.027,-2.177,5.979
2013-01-27,4.977,-1.69,4.806
2013-01-28,1.833,-2.194,1.857
2013-01-29,0.84,-2.356,0.885
2013-01-30,0.243,-4.088,0.288
2013-01-31,0.06,-6.303,0.084
2013-02-01,0.138,-3.627,0.177
2013-02-02,19.791,-0.672,15.174
2013-02-03,11.547,-3.562,11.514
2013-02-04,2.223,-2.774,2.229
2013-02-05,0.12,-5.34,0.135
2013-02-06,2.856,-5.436,2.667
2013-02-07,4.47,-4.045,4.173
2013-02-08,10.02,-1.815,6.039
2013-02-09,31.776,3.028,7.956
2013-02-10,15.756,-0.03,7.29
2013-02-11,0.459,-2.689,0.471
2013-02-12,0.0,-5.288,0.003
2013-02-13,0.066,-2.707,0.093
2013-02-14,0.234,-2.05,0.282
2013-02-15,0.0,-3.907,0.015
2013-02-16,0.0,-4.89,0.006
2013-02-17,12.909,0.252,7.851
2013-02-18,6.183,2.127,1.833
2013-02-19,7.035,2.216,3.246
2013-02-20,11.568,2.413,4.302
2013-02-21,5.016,2.104,2.367
2013-02-22,21.963,2.205,6.699
2013-02-23,2.436,1.032,1.791
2013-02-24,27.591,2.077,11.52
2013-02-25,55.734,4.432,2.274
2013-02-26,39.513,2.924,5.481
2013-02-27,6.936,0.26,4.761
2013-02-28,6.153,-0.862,3.159
2013-03-01,32.205,1.382,4.56
2013-03-02,3.9,-3.055,3.288
2013-03-03,2.877,-6.057,2.268
2013-03-04,2.316,-10.13,2.358
2013-03-05,0.369,-12.282,0.414
2013-03-06,8.811,-6.822,8.841
2013-03-07,2.598,-2.969,2.634
2013-03-08,0.777,-1.917,0.708
2013-03-09,0.0,-4.209,0.009
2013-03-10,0.0,-5.633,0.0
2013-03-11,0.0,-4.183,0.0
2013-03-12,0.462,-2.294,0.363
2013-03-13,2.298,-1.583,1.887
2013-03-14,6.903,-3.089,6.888
2013-03-15,0.0,-6.251,0.0
2013-03-16,0.0,-10.444,0.0
2013-03-17,0.0,-11.409,0.018
2013-03-18,0.0,-9.478,0.0
2013-03-19,1.095,-7.914,1.128
2013-03-20,0.483,-5.733,0.495
2013-03-21,0.0,-4.204,0.003
2013-03-22,1.002,-1.591,0.993
2013-03-23,0.201,-2.196,0.216
2013-03-24,0.015,-2.56,0.036
2013-03-25,0.108,-2.472,0.06
2013-03-26,1.335,-2.738,1.227
2013-03-27,2.358,-2.346,2.298
2013-03-28,3.027,-0.934,2.7
2013-03-29,1.455,-0.98,1.05
2013-03-30,0.114,-2.174,0.105
2013-03-31,0.201,-0.72,0.21
2013-04-01,1.482,0.329,0.975
2013-04-02,0.555,0.178,0.309
2013-04-03,1.683,0.441,0.774
2013-04-04,0.441,0.729,0.429
2013-04-05,1.59,-2.899,1.488
2013-04-06,0.432,-5.225,0.477
2013-04-07,0.234,-4.833,0.279
2013-04-08,0.507,-3.163,0.498
2013-04-09,1.317,-3.148,1.269
2013-04-10,0.102,-7.664,0.123
2013-04-11,0.012,-10.191,0.03
2013-04-12,0.03,-10.179,0.051
2013-04-13,0.771,-7.133,0.798
2013-04-14,0.09,-2.528,0.126
2013-04-15,0.213,-2.262,0.246
2013-04-16,1.677,-0.915,1.203
2013-04-17,7.47,-1.028,6.642
2013-04-18,0.123,-4.626,0.144
2013-04-19,10.269,-1.668,7.869
2013-04-20,11.913,-1.245,9.528
2013-04-21,1.65,-1.87,1.638
2013-04-22,17.556,-0.822,15.072
2013-04-23,6.006,-0.928,5.463
2013-04-24,2.55,-3.113,2.544
2013-04-25,0.387,-4.983,0.456
2013-04-26,0.204,-5.153,0.222
2013-04-27,8.649,-0.097,6.489
2013-04-28,1.101,-2.196,1.128
2013-04-29,0.186,-5.672,0.231
2013-04-30,0.003,-8.616,0.012
2013-05-01,0.036,-7.922,0.069
2013-05-02,2.472,-4.725,2.337
2013-05-03,11.001,0.521,7.596
2013-05-04,9.171,0.212,6.357
2013-05-05,0.846,-1.831,0.795
2013-05-06,0.627,-0.439,0.489
2013-05-07,4.746,0.876,3.543
2013-05-08,0.0,1.468,0.003
2013-05-09,0.276,2.539,0.036
2013-05-10,2.859,3.457,0.147
2013-05-11,3.99,1.76,1.227
2013-05-12,0.705,1.494,0.342
2013-05-13,0.159,3.072,0.144
2013-05-14,0.012,1.651,0.018
2013-05-15,0.0,0.458,0.0
2013-05-16,0.12,1.694,0.123
2013-05-17,0.012,2.692,0.018
2013-05-18,2.094,3.511,0.693
2013-05-19,5.526,2.325,1.329
2013-05-20,2.295,1.967,1.245
2013-05-21,3.3,0.814,2.808
2013-05-22,0.228,-0.073,0.231
2013-05-23,3.534,1.373,1.464
2013-05-24,29.442,4.264,2.418
2013-05-25,10.707,1.781,4.878
2013-05-26,3.348,2.272,1.122
2013-05-27,3.819,3.156,2.373
2013-05-28,6.117,4.8,0.711
2013-05-29,3.078,3.901,0.723
2013-05-30,10.383,2.775,2.868
2013-05-31,17.766,2.748,6.888
2013-06-01,9.561,2.871,3.24
2013-06-02,1.047,4.465,0.315
2013-06-03,20.484,6.196,0.054
2013-06-04,7.431,6.722,0.027
2013-06-05,0.204,8.162,0.009
2013-06-06,0.306,7.603,0.0
2013-06-07,0.489,6.44,0.0
2013-06-08,7.29,6.218,0.027
2013-06-09,7.773,6.691,0.027
2013-06-10,3.942,9.259,0.003
2013-06-11,6.126,7.912,0.087
2013-06-12,6.411,6.81,0.381
2013-06-13,0.369,6.79,0.0
2013-06-14,0.006,7.748,0.0
2013-06-15,0.264,8.58,0.0
2013-06-16,0.135,6.588,0.003
2013-06-17,4.404,5.406,0.459
2013-06-18,13.305,5.499,1.299
2013-06-19,6.066,6.253,0.384
2013-06-20,0.204,7.107,0.033
2013-06-21,4.851,7.238,0.012
2013-06-22,0.972,8.059,0.003
2013-06-23,0.006,8.822,0.0
2013-06-24,0.105,7.115,0.015
2013-06-25,1.947,7.058,0.024
2013-06-26,22.431,5.58,0.6
2013-06-27,10.989,3.656,2.76
2013-06-28,3.792,3.964,0.747
2013-06-29,0.276,5.248,0.015
2013-06-30,0.021,7.303,0.0
2013-07-01,1.107,5.002,0.144
2013-07-02,0.123,4.283,0.096
2013-07-03,2.343,6.086,0.105
2013-07-04,3.879,6.812,0.102
2013-07-05,25.506,6.09,1.182
2013-07-06,11.499,4.537,2.142
2013-07-07,7.191,4.832,0.702
2013-07-08,15.957,7.171,0.009
2013-07-09,0.081,8.754,0.0
2013-07-10,3.75,8.848,0.0
2013-07-11,10.701,7.653,0.0
2013-07-12,7.587,4.725,1.671
2013-07-13,9.966,4.847,0.441
2013-07-14,1.17,6.319,0.027
2013-07-15,8.493,6.54,0.03
2013-07-16,5.442,6.473,0.03
2013-07-17,1.74,7.092,0.054
2013-07-18,20.181,8.269,0.0
2013-07-19,5.478,7.714,0.003
2013-07-20,0.354,8.894,0.0
2013-07-21,1.368,9.063,0.0
2013-07-22,0.042,11.49,0.0
2013-07-23,0.0,13.946,0.0
2013-07-24,0.0,13.856,0.0
2013-07-25,0.0,13.304,0.0
2013-07-26,0.0,14.284,0.0
2013-07-27,1.173,12.974,0.0
2013-07-28,8.07,10.724,0.0
2013-07-29,0.987,11.552,0.0
2013-07-30,0.021,10.935,0.0
2013-07-31,0.069,7.393,0.0
2013-08-01,0.0,6.326,0.0
2013-08-02,0.129,8.503,0.0
2013-08-03,1.155,7.587,0.036
2013-08-04,0.159,6.255,0.027
2013-08-05,0.672,3.879,0.36
2013-08-06,0.0,6.32,0.0
2013-08-07,1.425,6.485,0.051
2013-08-08,10.722,6.606,0.642
2013-08-09,9.408,7.519,0.06
2013-08-10,2.517,7.2,0.009
2013-08-11,0.114,6.758,0.003
2013-08-12,0.0,7.555,0.0
2013-08-13,6.648,6.444,0.012
2013-08-14,15.15,7.927,0.006
2013-08-15,16.446,7.219,0.129
2013-08-16,5.805,7.094,0.087
2013-08-17,0.093,6.426,0.0
2013-08-18,3.417,5.174,0.207
2013-08-19,6.459,4.265,0.924
2013-08-20,0.222,3.922,0.219
2013-08-21,10.959,6.399,0.039
2013-08-22,5.184,7.539,0.0
2013-08-23,20.142,9.141,0.0
2013-08-24,9.561,7.226,0.075
2013-08-25,6.993,5.233,0.492
2013-08-26,13.959,5.366,1.344
2013-08-27,2.523,4.878,0.393
2013-08-28,2.103,5.69,0.051
2013-08-29,19.455,6.424,0.192
2013-08-30,32.34,2.854,5.259
2013-08-31,0.363,3.691,0.051
2013-09-01,12.333,4.863,0.126
2013-09-02,16.113,3.296,4.485
2013-09-03,9.297,3.067,3.666
2013-09-04,4.14,3.249,1.131
2013-09-05,0.0,3.227,0.0
2013-09-06,0.006,3.373,0.0
2013-09-07,4.419,4.977,0.489
2013-09-08,8.028,5.192,1.239
2013-09-09,5.673,5.995,0.123
2013-09-10,10.383,5.368,0.003
2013-09-11,19.068,5.189,2.046
2013-09-12,19.632,2.534,6.852
2013-09-13,3.51,2.62,1.959
2013-09-14,4.374,1.858,2.046
2013-09-15,5.241,0.34,4.713
2013-09-16,3.168,-0.359,3.165
2013-09-17,1.029,-0.498,1.05
2013-09-18,0.723,0.628,0.747
2013-09-19,6.444,1.873,2.49
2013-09-20,7.5,2.245,2.655
2013-09-21,0.576,1.897,0.192
2013-09-22,0.015,3.158,0.006
2013-09-23,0.006,3.283,0.0
2013-09-24,0.09,2.915,0.006
2013-09-25,25.425,3.249,5.856
2013-09-26,3.348,3.93,0.12
2013-09-27,4.212,1.309,0.864
2013-09-28,0.711,-0.674,0.501
2013-09-29,1.584,1.748,0.828
2013-09-30,18.888,3.742,0.771
2013-10-01,18.951,5.637,0.0
2013-10-02,4.119,6.212,0.0
2013-10-03,0.006,4.845,0.0
2013-10-04,0.159,0.793,0.162
2013-10-05,0.117,-1.612,0.153
2013-10-06,0.0,-2.168,0.009
2013-10-07,0.009,-1.659,0.039
2013-10-08,6.891,-1.418,6.357
2013-10-09,0.081,-2.029,0.093
2013-10-10,2.478,1.727,0.039
2013-10-11,2.355,5.112,0.117
2013-10-12,0.177,4.725,0.006
2013-10-13,0.015,3.068,0.0
2013-10-14,0.0,2.769,0.0
2013-10-15,0.0,1.54,0.0
2013-10-16,0.0,1.137,0.0
2013-10-17,0.519,1.077,0.282
2013-10-18,0.318,0.4,0.111
2013-10-19,0.0,-1.999,0.006
2013-10-20,0.0,-2.118,0.0
2013-10-21,0.009,-2.04,0.015
2013-10-22,0.21,-1.107,0.225
2013-10-23,1.41,-1.02,1.428
2013-10-24,1.773,-2.34,1.425
2013-10-25,0.267,-2.66,0.288
2013-10-26,0.03,-2.554,0.048
2013-10-27,0.492,-1.536,0.528
2013-10-28,1.338,-1.896,1.239
2013-10-29,0.441,-3.471,0.468
2013-10-30,7.698,-1.518,7.665
2013-10-31,0.261,-2.234,0.291
2013-11-01,0.249,-2.833,0.27
2013-11-02,0.297,-3.233,0.348
2013-11-03,0.012,-5.324,0.015
2013-11-04,0.225,-3.006,0.27
2013-11-05,1.392,-1.279,1.389
2013-11-06,2.22,-1.714,2.232
2013-11-07,3.642,-2.969,3.189
2013-11-08,0.0,-7.049,0.003
2013-11-09,0.231,-5.791,0.273
2013-11-10,14.97,-1.791,13.047
2013-11-11,34.902,0.667,24.858
2013-11-12,1.755,-5.862,1.698
2013-11-13,18.405,-2.553,17.016
2013-11-14,41.334,-1.668,15.966
2013-11-15,4.947,-1.26,4.629
2013-11-16,3.54,-4.565,3.552
2013-11-17,1.965,-7.239,1.998
2013-11-18,0.453,-11.738,0.486
2013-11-19,5.373,-5.366,5.187
2013-11-20,0.351,-8.263,0.351
2013-11-21,2.418,0.394,1.35
2013-11-22,0.591,-4.113,0.441
2013-11-23,0.0,-7.133,0.0
2013-11-24,5.043,-2.132,1.953
2013-11-25,27.342,2.876,3.921
2013-11-26,23.052,1.592,2.793
2013-11-27,5.694,-0.816,5.079
2013-11-28,14.154,-0.724,10.494
2013-11-29,13.596,-1.887,7.941
2013-11-30,7.734,-0.038,3.12
2013-12-01,32.934,0.96,11.709
2013-12-02,7.809,-4.722,7.689
2013-12-03,11.985,-5.758,11.97
2013-12-04,2.43,-12.071,2.445
2013-12-05,0.276,-16.939,0.309
2013-12-06,0.021,-14.938,0.03
2013-12-07,2.745,-7.899,2.829
2013-12-08,13.737,-2.421,11.997
2013-12-09,6.717,-2.988,5.619
2013-12-10,5.889,-3.347,5.46
2013-12-11,5.271,-4.299,5.244
2013-12-12,0.138,-5.938,0.078
2013-12-13,5.376,-1.2,4.581
2013-12-14,5.01,-4.828,5.007
2013-12-15,0.105,-7.69,0.144
2013-12-16,3.099,-7.504,3.12
2013-12-17,17.841,-2.456,12.996
2013-12-18,7.005,-4.121,5.898
2013-12-19,6.936,-5.995,6.954
2013-12-20,1.107,-5.018,1.152
2013-12-21,2.811,-1.603,2.742
2013-12-22,0.093,-4.017,0.117
2013-12-23,2.43,-5.624,2.454
2013-12-24,0.522,-4.952,0.549
2013-12-25,1.47,-2.908,1.506
2013-12-26,0.291,-6.265,0.321
2013-12-27,0.579,-5.978,0.615
2013-12-28,0.291,-5.872,0.315
2013-12-29,0.291,-7.622,0.321
2013-12-30,1.371,-3.062,1.413
2013-12-31,0.12,-2.458,0.129
2014-01-01,0.156,-1.715,0.189
2014-01-02,0.579,-2.057,0.615
2014-01-03,0.993,-0.594,0.984
2014-01-04,0.288,-0.757,0.312
2014-01-05,0.03,-2.513,0.048
2014-01-06,0.081,-3.536,0.108
2014-01-07,0.36,-1.696,0.39
2014-01-08,0.051,-2.325,0.066
2014-01-09,0.024,-3.747,0.042
2014-01-10,7.221,-1.613,6.468
